,Unnamed: 0,player,Season,team,g,mpg,ppg,oreb,dreb,rpg,apg,tov,spg,bpg,fgm,ftm,fta,three_m,three_a,impact
0,1,Darius Leonard,2015,Wake Forest,32,17.4062,5.6875,1.0,1.4688,2.4688,0.3125,0.468800009240986,0.3125,0.3125,2.21875,0.34375,0.71875,0.90625,3.0,3.6065992557749613
1,2,Anthony Gill,2015,Virginia,34,25.2647,11.6176,3.0,3.4706,6.4706,0.8529,1.14709993124663,0.8529,0.4706,4.17647058823529,3.26470588235294,4.82352941176471,0.0,0.0294117647058824,10.678513018414177
2,3,Patrick Heckmann,2015,Boston College,32,29.3125,8.4375,1.1562,3.2188,4.375,2.7188,1.90619999822617,1.25,0.375,2.90625,1.84375,2.34375,0.78125,2.71875,6.744233593682985
3,4,Darion Atkins,2015,Virginia,33,23.9091,7.6364,2.2121,3.7576,5.9697,0.697,1.12119992649947,0.8182,1.0909,3.42424242424242,0.787878787878788,1.51515151515152,0.0,0.0303030303030303,9.531504351185985
4,5,Pat Connaughton,2015,Notre Dame,38,35.5526,12.5,1.0789,6.3421,7.4211,1.5,1.15789997948819,0.7105,0.9474,4.36842105263158,1.31578947368421,1.68421052631579,2.44736842105263,5.78947368421053,11.001638474958016
5,6,Wayne Blackshear,2015,Louisville,36,31.3611,11.5556,0.9444,3.3333,4.2778,1.1667,1.02779995829072,1.0278,0.5833,3.66666666666667,2.55555555555556,3.27777777777778,1.66666666666667,5.02777777777778,7.737662376389286
6,7,Quinn Cook,2015,Duke,39,35.7949,15.3333,0.3846,2.9744,3.359,2.641,1.20510004728272,1.0,0.0256,5.1025641025641,2.51282051282051,2.82051282051282,2.61538461538462,6.61538461538461,9.519349672025752
7,8,Rod Hall,2015,Clemson,31,34.2258,9.1613,0.2903,2.0323,2.3226,3.4194,2.06450010560684,0.871,0.1935,2.96774193548387,2.61290322580645,3.45161290322581,0.612903225806452,1.93548387096774,4.350150368926377
8,9,Dimitri Batten,2015,Boston College,32,25.5938,7.25,0.375,2.4062,2.7812,1.2188,1.31250006192054,1.0625,0.1875,2.5,1.34375,2.15625,0.90625,2.40625,4.84122310968713
9,10,Michael Gbinije,2015,Syracuse,30,35.0,12.7,1.1667,3.8333,5.0,3.6,2.13330012338119,1.8667,0.3667,4.6,1.86666666666667,3.26666666666667,1.63333333333333,4.16666666666667,7.474232390392364
10,11,Angel Rodriguez,2015,Miami FL,32,28.3125,11.9375,0.4375,1.9062,2.3438,3.9375,2.31250000367063,1.8438,0.2812,3.4375,3.5625,4.78125,1.5,4.9375,6.827538291131164
11,12,Dennis Clifford,2015,Boston College,31,25.2581,6.9355,1.5484,3.9677,5.5161,0.9032,1.22580008427511,0.3548,1.1935,2.41935483870968,2.0,2.74193548387097,0.0967741935483871,0.193548387096774,7.695324544795165
12,13,Eddie Odio,2015,Boston College,29,15.0,2.1379,0.8276,1.7241,2.5517,0.931,0.931,0.4138,0.3793,0.724137931034483,0.413793103448276,0.586206896551724,0.275862068965517,1.13793103448276,2.819605055947264
