,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Date
0,1,LSU,SEC,1,1–0 0–0,116.2 34,64.7 1,.9988 1,61.1 20,30.9 3,16.1 75,33.5 3,47.2 11,18.9 44,26.4 139,36.2 158,60.5 38,32.3 10,41.4 36,18.8 27,40.3 95,34.0 84,73.8 60,+0.05 72,2021-11-09
1,3,Oklahoma St.,B12,1,1–0 0–0,119.9 22,69.4 2,.9982 3,52.8 74,39.6 29,16.7 87,30.6 5,48.7 7,20.5 58,23.9 150,18.9 51,52.2 103,54.5 157,36.0 75,10.0 3,35.2 150,37.7 119,73.8 60,+0.06 56,2021-11-09
2,4,Auburn,SEC,1,1–0 0–0,116.2 35,77.3 7,.9909 4,52.9 73,41.5 41,8.7 7,24.6 43,24.3 157,29.7 132,10.1 224,13.6 23,60.5 38,41.5 44,29.0 138,27.8 84,44.9 58,30.5 55,71.7 104,+0.16 22,2021-11-09
3,5,Iowa,B10,1,1–0 0–0,138.9 2,93.6 88,.9894 5,66.9 7,41.2 39,10.7 17,16.0 167,32.3 83,34.0 172,33.8 92,21.6 75,65.6 16,40.5 38,45.5 16,28.1 94,50.8 26,43.2 167,76.0 35,+0.11 34,2021-11-09
4,6,Villanova,BE,1,1–0 0–0,140.0 1,96.0 111,.9871 6,69.6 5,47.9 114,9.7 12,29.2 12,26.9 136,25.9 98,25.0 144,17.0 39,57.7 55,51.4 126,53.3 5,25.0 59,53.6 17,25.5 24,65.3 209,+0.05 68,2021-11-09
5,7,Connecticut,BE,1,1–0 0–0,117.8 30,81.1 18,.9866 7,67.7 6,40.2 31,19.2 134,39.8 1,53.8 3,35.5 188,30.6 114,23.5 87,61.2 34,36.1 18,61.5 1,33.3 136,21.0 237,29.4 47,75.2 38,+0.01 118,2021-11-09
6,8,St. John's,BE,1,1–0 0–0,121.5 18,84.7 29,.9844 8,79.2 1,33.3 6,23.9 189,21.5 77,41.7 27,26.9 104,30.8 113,30.4 124,80.0 1,30.4 8,52.0 8,26.1 68,38.5 109,33.3 73,79.4 10,+0.01 115,2021-11-09
7,9,USC,P12,1,1–0 0–0,118.2 28,82.9 22,.9835 9,60.9 21,36.2 11,14.8 55,20.7 87,42.9 23,24.3 83,20.3 177,15.5 32,68.2 9,36.6 21,30.0 127,23.5 52,31.3 179,29.3 46,70.1 136,+0.02 110,2021-11-09
8,10,Alabama,SEC,1,1–0 0–0,129.7 8,92.0 77,.9810 10,60.2 28,43.3 63,19.5 139,15.3 178,43.2 21,31.4 151,35.9 85,28.4 112,61.3 33,48.8 108,39.4 51,23.1 50,51.6 24,38.8 138,70.7 128,+0.20 15,2021-11-09
9,11,Duke,ACC,1,1–0 0–0,115.7 37,83.3 23,.9777 11,51.6 86,42.2 50,12.3 34,17.8 131,26.5 138,41.3 212,37.7 69,9.1 14,62.5 25,37.3 25,7.7 240,38.9 184,21.3 236,23.4 13,72.4 84,+0.7 1,2021-11-09
10,14,UCLA,P12,1,1–0 0–0,113.8 39,84.2 24,.9697 14,60.5 25,43.0 57,14.4 51,19.6 98,22.2 167,16.3 27,41.9 48,12.5 22,51.4 110,36.2 19,48.1 11,41.2 203,43.5 68,26.6 27,79.9 7,+0.03 92,2021-11-09
