Season,norm,Coach,Unnamed: 0,School,Conference,W_curr,L_curr,W_pct_curr,AP Pre,AP Post,AP Change,NCAA Tournament,W_ovr,L_ovr,W_pct_ovr,NCAA_app_ovr,S16_ovr,FF_ovr,Chmp_ovr,pake,pase,wins,loss,w_percent,Total_NCAAT_games,total_games,TeamNameSpelling,TeamID
2015,alabama,Anthony Grant,27,Alabama,SEC,18,14,0.5625,,,,,193,110,0.636963696369637,3.0,,,,-0.4,-0.8,2.0,4.0,0.333,6.0,303,alabama,1104
2015,alabama,John Brannen,10,Alabama,SEC,1,1,0.5,,,,,1,1,0.5,,,,,-0.1,-0.3,0.0,2.0,0.0,2.0,2,alabama,1104
2015,arizona,Sean Miller,54,Arizona,Pac-12,34,4,0.894736842105263,2.0,5.0,3.0,Lost Regional Final,283,99,0.740837696335079,8.0,6.0,,,1.4,1.5,21.0,13.0,0.618,34.0,382,arizona,1112
2015,arizona state,Herb Sendek,64,Arizona State,Pac-12,18,16,0.529411764705882,,,,,413,295,0.583333333333333,8.0,1.0,,,-1.9,-0.2,6.0,7.0,0.462,13.0,708,arizona-state,1113
2015,arkansas,Mike Anderson Sr,4,Arkansas,SEC,27,9,0.75,,21.0,,Lost Third Round,286,146,0.662037037037037,7.0,2.0,,,,,,,,,432,arkansas,1116
2015,auburn,Bruce Pearl,56,Auburn,SEC,15,20,0.428571428571429,,,,,246,119,0.673972602739726,8.0,4.0,,,1.1,1.4,21.0,14.0,0.6,35.0,365,auburn,1120
2015,baylor,Scott Drew,22,Baylor,Big 12,24,10,0.705882352941177,,16.0,,Lost Second Round,250,171,0.593824228028504,5.0,3.0,,,0.5,-0.8,21.0,12.0,0.636,33.0,421,baylor,1124
2015,boston college,Jim Christian,15,Boston College,ACC,13,19,0.40625,,,,,255,173,0.595794392523365,2.0,,,,-0.9,-1.1,0.0,2.0,0.0,2.0,428,boston-college,1130
2015,butler,Chris Holtmann,32,Butler,Big East,23,11,0.676470588235294,,24.0,,Lost Third Round,67,65,0.507575757575758,1.0,,,,-1.4,-1.2,7.0,7.0,0.5,14.0,132,butler,1139
2015,california,Cuonzo Martin,48,California,Pac-12,18,15,0.545454545454545,,,,,142,97,0.594142259414226,1.0,1.0,,,-2.1,-1.5,2.0,4.0,0.333,6.0,239,california,1143
2015,clemson,Brad Brownell,12,Clemson,ACC,16,15,0.516129032258065,,,,,257,158,0.619277108433735,4.0,,,,-1.8,-1.1,5.0,8.0,0.385,13.0,415,clemson,1155
2015,colorado,Tad Boyle,9,Colorado,Pac-12,16,18,0.470588235294118,,,,,164,134,0.550335570469799,3.0,,,,-1.0,-1.4,3.0,6.0,0.333,9.0,298,colorado,1160
2015,creighton,Greg McDermott,52,Creighton,Big East,14,19,0.424242424242424,,,,,270,188,0.589519650655022,6.0,,,,0.0,0.1,12.0,13.0,0.48,25.0,458,creighton,1166
2015,depaul,Oliver Purnell,59,DePaul,Big East,12,20,0.375,,,,,448,384,0.538461538461538,6.0,,,,-4.4,-5.1,0.0,5.0,0.0,5.0,832,depaul,1177
2015,duke,Mike Krzyzewski,43,Duke,ACC,35,4,0.897435897435897,4.0,4.0,0.0,Won National Final,1018,310,0.766566265060241,31.0,22.0,12.0,5.0,-0.2,-3.0,53.0,18.0,0.746,71.0,1328,duke,1181
2015,florida,Billy Donovan,21,Florida,SEC,16,17,0.484848484848485,7.0,,,,502,206,0.709039548022599,14.0,8.0,4.0,2.0,7.6,9.7,33.0,11.0,0.75,44.0,708,florida,1196
2015,florida state,Leonard Hamilton ,30,Florida State,ACC,17,16,0.515151515151515,,,,,458,383,0.544589774078478,7.0,2.0,,,,,,,,,841,florida-state,1199
2015,georgetown,John Thompson III,67,Georgetown,Big East,22,11,0.666666666666667,,22.0,,Lost Third Round,317,157,0.668776371308017,10.0,2.0,1.0,,,,,,,,474,georgetown,1207
2015,georgia,Mark Fox,25,Georgia,SEC,21,12,0.636363636363636,,,,Lost Second Round,229,132,0.634349030470914,5.0,,,,-1.2,-1.8,2.0,5.0,0.286,7.0,361,georgia,1208
2015,georgia tech,Brian Gregory,28,Georgia Tech,ACC,12,19,0.387096774193548,,,,,227,165,0.579081632653061,2.0,,,,0.1,-0.3,1.0,2.0,0.333,3.0,392,georgia-tech,1210
2015,illinois,John Groce,29,Illinois,Big Ten,19,14,0.575757575757576,,,,,147,98,0.6,3.0,1.0,,,1.8,2.1,4.0,6.0,0.4,10.0,245,illinois,1228
2015,indiana,Tom Crean,18,Indiana,Big Ten,20,14,0.588235294117647,,,,Lost Second Round,311,207,0.6003861003861,8.0,3.0,1.0,,-1.0,-1.3,11.0,9.0,0.55,20.0,518,indiana,1231
2015,iowa,Fran McCaffery,51,Iowa,Big Ten,22,12,0.647058823529412,,,,Lost Third Round,347,252,0.579298831385643,7.0,,,,-2.7,-1.7,6.0,10.0,0.375,16.0,599,iowa,1234
2015,iowa state,Fred Hoiberg,31,Iowa State,Big 12,25,9,0.735294117647059,14.0,9.0,-5.0,Lost Second Round,115,56,0.672514619883041,4.0,1.0,,,-1.6,-1.7,4.0,5.0,0.444,9.0,171,iowa-state,1235
2015,kansas,Bill Self,63,Kansas,Big 12,27,9,0.75,5.0,10.0,5.0,Lost Third Round,559,183,0.753369272237197,17.0,10.0,2.0,1.0,2.5,-4.4,56.0,23.0,0.709,79.0,742,kansas,1242
2015,kansas state,Bruce Weber,71,Kansas State,Big 12,15,17,0.46875,,,,,375,193,0.660211267605634,10.0,3.0,1.0,,-1.6,-0.6,14.0,13.0,0.519,27.0,568,kansas-state,1243
2015,kentucky,John Calipari ,13,Kentucky,SEC,38,1,0.974358974358974,1.0,1.0,0.0,Lost National Semifinal,635,178,0.781057810578106,16.0,12.0,6.0,1.0,,,,,,,813,kentucky,1246
