,Season,School,coach_factor,Conference,avg_impact,total_factor,
1,2026,Virginia Tech,8.735976466,ACC,8.328772948,17.06474941,2
2,2026,SMU,6.239829865,ACC,7.885868514,14.12569838,1.64821985
3,2026,Louisville,6.323759646,ACC,7.793232014,14.11699166,1.64717773
4,2026,Stanford,6.093834923,ACC,6.806477207,12.90031213,"       [1.50155123],"
5,2026,Duke,2.291903533,ACC,10.5930212,12.88492473,"       [1.49970949],"
6,2026,NC State,5.471107951,ACC,7.27520349,12.74631144,"       [1.48311862],"
7,2026,Wake Forest,4.844677321,ACC,7.878286283,12.7229636,"       [1.48032408],"
8,2026,Virginia,4.578002853,ACC,7.939634019,12.51763687,"       [1.45574816],"
9,2026,Georgia Tech,2.349119782,ACC,9.539455879,11.88857566,"       [1.38045473],"
10,2026,Syracuse,0.976994524,ACC,9.328536082,10.30553061,"       [1.1909773 ],"
11,2026,Notre Dame,1.579659007,ACC,8.498004935,10.07766394,"       [1.16370354],"
12,2026,Clemson,9.943364764,ACC,NA,9.943364764,"       [1.14762904],"
13,2026,California,2.371924411,ACC,6.881471905,9.253396317,"       [1.06504551],"
14,2026,Florida State,0.206799208,ACC,6.489102943,6.695902152,"       [0.75893457],"
15,2026,Pitt,6.195784041,ACC,NA,6.195784041,"       [0.69907456],"
16,2026,Boston College,4.095481177,ACC,NA,4.095481177,"       [0.44768564],"
17,2026,UNC,2.477143346,ACC,NA,2.477143346,"       [0.25398396],"
18,2026,Miami (FL),0.35515943,ACC,NA,0.35515943,       [0.        ]])
